sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961059E2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2015-07-07T15:58:47.000+00:00,37.804864711,-122.299287774,3.61
2015-07-07T15:58:48.000+00:00,37.804876559,-122.299281433,3.56
2015-07-07T15:58:49.000+00:00,37.804886675,-122.299273868,3.86
2015-07-07T15:58:50.000+00:00,37.804897986,-122.299264578,3.96
2015-07-07T15:58:51.000+00:00,37.804908922,-122.299255866,4.21
2015-07-07T15:58:52.000+00:00,37.804918262,-122.299248182,4.96
2015-07-07T15:58:53.000+00:00,37.804929426,-122.299239231,5.36
2015-07-07T15:58:54.000+00:00,37.80493928,-122.299231563,5.31
2015-07-07T15:58:55.000+00:00,37.80494865,-122.299223865,5.16
2015-07-07T15:58:56.000+00:00,37.804958102,-122.299215177,5.41
2015-07-07T15:58:57.000+00:00,37.804967863,-122.299206414,5.41
2015-07-07T15:58:58.000+00:00,37.804978445,-122.299198129,5.06
2015-07-07T15:58:59.000+00:00,37.804990497,-122.299188433,4.86
2015-07-07T15:59:00.000+00:00,37.805000905,-122.299180471,5.46
2015-07-07T15:59:01.000+00:00,37.805010852,-122.299173886,5.51
2015-07-07T15:59:02.000+00:00,37.805020207,-122.299167801,5.51
2015-07-07T15:59:03.000+00:00,37.805029,-122.299162408,5.56
